"Purchase price for one- and two-dwelling buildings, average in 1 000 SEK by region, type of real estate and year"

"region";"type of real estate";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019"
"0884 Vimmerby";"permanent dwelling (no site leasehold rights)";272;256;223;254;230;255;272;312;343;387;441;390;399;397;417;458;463;464;490;537;563;539;627;656;667;757;741;920;931;863;786;1015;932;911;1043;1124;1243;1165;1504
"0885 Borgholm";"permanent dwelling (no site leasehold rights)";310;258;288;276;288;282;334;346;402;468;618;468;448;472;451;508;520;562;558;659;682;711;732;772;893;1186;1264;1140;1443;1398;1407;1462;1460;1496;1655;1661;2024;1999;2072
"0980 Gotland";"permanent dwelling (no site leasehold rights)";278;284;265;271;314;323;330;399;453;523;625;548;506;550;529;574;596;611;682;779;831;933;1049;1228;1294;1404;1661;1700;1707;1868;1852;1908;2001;2091;2274;2567;2831;2937;3002
"1060 Olofström";"permanent dwelling (no site leasehold rights)";230;218;222;231;255;264;268;318;359;394;433;446;387;422;429;465;470;478;479;468;537;544;516;526;615;640;683;688;653;659;645;660;658;762;709;800;867;1058;969
"1080 Karlskrona";"permanent dwelling (no site leasehold rights)";327;321;302;326;327;342;380;405;474;531;616;551;546;563;582;562;629;628;725;791;868;910;969;1094;1174;1352;1393;1351;1393;1512;1580;1556;1703;1705;1845;1886;2246;2291;2390
"1081 Ronneby";"permanent dwelling (no site leasehold rights)";244;260;251;236;254;264;293;321;365;428;481;452;429;442;447;468;516;528;523;626;588;631;723;763;811;852;947;996;1089;1086;1090;1114;1171;1227;1212;1223;1376;1451;1502
"1082 Karlshamn";"permanent dwelling (no site leasehold rights)";258;276;244;273;273;288;322;349;410;444;516;486;470;522;513;557;580;617;604;657;664;664;738;754;890;945;1089;1141;1172;1164;1223;1227;1282;1270;1465;1464;1614;1727;1790
"1083 Sölvesborg";"permanent dwelling (no site leasehold rights)";227;212;228;220;236;254;255;300;345;400;422;434;375;427;447;453;484;498;592;589;639;676;790;831;900;1015;1125;1085;1249;1451;1224;1260;1295;1292;1260;1551;1643;1578;1749
"1214 Svalöv";"permanent dwelling (no site leasehold rights)";202;206;207;202;204;217;255;258;338;411;489;407;345;387;398;412;436;435;502;496;594;583;671;754;789;949;1043;1017;1174;1147;1095;1269;1203;1196;1308;1396;1647;1693;1788
"1230 Staffanstorp";"permanent dwelling (no site leasehold rights)";342;340;328;329;355;360;425;530;643;735;844;743;592;670;690;716;790;905;1053;1196;1216;1349;1555;1816;1933;2184;2362;2376;2367;2641;2636;2511;2536;2673;2871;3144;3353;3685;3648
"1231 Burlöv";"permanent dwelling (no site leasehold rights)";371;378;385;376;413;411;478;556;701;834;902;825;707;687;748;797;850;906;1039;1226;1238;1407;1613;1812;2059;2276;2397;2443;2421;2580;2584;2399;2515;2781;2943;3014;3416;3589;3732
"1233 Vellinge";"permanent dwelling (no site leasehold rights)";405;398;433;432;464;478;590;645;847;1064;1135;1068;914;969;1017;1000;1095;1267;1511;1704;1830;2019;2246;2526;2821;3289;3668;3547;3621;3767;3924;3716;3962;4048;4317;4784;5156;5785;5751
"1256 Östra Göinge";"permanent dwelling (no site leasehold rights)";194;195;195;198;200;187;230;278;308;354;366;434;346;367;358;340;373;403;418;421;428;428;486;474;530;578;659;685;642;699;623;615;693;776;796;855;914;1011;993
